cpu_type	rank	name	nb_id	nb_url	codename	series	l2_cache_mb	l3_cache_mb	tdp_watt	tdp_turbo_watt	base_mhz	boost_mhz	cores	threads	process_nm	architecture	is_64bit	graphics_card	perf_rating	cinebench_r10_32bit_single	cinebench_r10_32bit_multi	cinebench_r15_cpu_single_64bit	cinebench_r15_cpu_multi_64bit	cinebench_r20_single	cinebench_r20	cinebench_r23_single_core	cinebench_r23_multi_core	cinebench_2024_cpu_single_core	cinebench_2024_cpu_multi_core	geekbench_4_4_64_bit_single_core_score	geekbench_4_4_64_bit_multi_core_score	geekbench_5_5_single_core	geekbench_5_5_multi_core	geekbench_6_7_single_core	geekbench_6_7_multi_core	3dmark06_cpu	x264_pass_1	x264_pass_2	x265	truecrypt_aes	truecrypt_twofish	truecrypt_serpent	blender	blender_v3_3_classroom_cpu	7_zip_single	7_zip	superpi_1m	superpi_32m	wprime_32	wprime_1024	webxprt_3	webxprt_4_overall	crossmark_overall	cinebench_2026_cpu_single_thread	cinebench_2026_cpu_multi	octane_v2_total_score	jetstream_2	jetstream_2_2_2_total	speedometer_2_0	sunspider_1_0_total_score	geekbench_2	geekbench_3_32_bit_single_core_score	geekbench_3_32_bit_multi_core_score	passmark_performancetest_mobile_v1_cpu_tests
laptop	374	AMD Ryzen 7 4800H	449893	https://www.notebookcheck.net/AMD-Ryzen-7-4800H-Laptop-Processor-Benchmarks-and-Specs.449893.0.html	Renoir-H (Zen 2)	Renoir (Ryzen 4000 APU)	4.0	8.0	45		2900	4200	8	16	7	x86	True	Vega 7	26.357	5684	37276	188	1854	485	4339.5	1253.5	11135.5			4949.5	26453	1191	7955	1554	7658	12683	215.6	102.7	12.8	10.3	1.9	1.1	262		4686	50075	9.81	564	3.38	90.9	218.5					43309	136.8		129					
laptop	375	AMD Ryzen 7 7730U	681481	https://www.notebookcheck.net/AMD-Ryzen-7-7730U-Processor-Benchmarks-and-Specs.681481.0.html	Barcelo-U Refresh	Cezanne (Zen 3, Ryzen 5000)	4.0	16.0	15		2000	4500	8	16	7	x86	True	Vega 8	46.35	6243	32670	231	1830	566.5	4070.5	1454.5	10801.5			6092	29078	1479.5	7573	1960	7013		236.2	90.9	12.7	10.1	1.4	0.99	296	499.5	5356	49424.5	7.95	438.1	4.37	121.16	263	210.5	1321			71624	226.99		255					
laptop	376	AMD Ryzen 7 7435HS	905778	https://www.notebookcheck.net/AMD-Ryzen-7-7435HS-Processor-Benchmarks-and-Specs.905778.0.html	Rembrandt-HS Refresh (Zen 3+)	Rembrandt (Zen 3+)	4.0	16.0	45		3100	4500	8	16	6	x86	True		37.4															1818	9679																													
desktop	377	Intel Core i7-6950X	207976	https://www.notebookcheck.net/Intel-Core-i7-6950X-Desktop-CPU-Benchmarks-and-Specs.207976.0.html	Broadwell-E	Core i7 (Desktop)	2.5	25.0	120		3000	3500	10	20	14	x86	True		61.229	6231	40378	155.5	1859							4906	37194	957	8888			10658	196	101		10.5	1.7	1.4					15	495	3.5	94						35813				94.4	22114	3387	31129	
smartphone	378	Qualcomm Snapdragon 8 Elite	908499	https://www.notebookcheck.net/Qualcomm-Snapdragon-8-Elite-Processor-Benchmarks-and-Specs.908499.0.html	Oryon v2	Snapdragon 8	12.0	8.0			3530	4320	8	8	3	ARM	True	Adreno 830	66.55											8385	32193	2192	7833	3084	9273																210.5	165.5	1898			76383	238.78	267.48	390	134.3				
smartphone	379	Qualcomm Snapdragon 8 Gen 5	1152086	https://www.notebookcheck.net/Qualcomm-Snapdragon-8-Gen-5-Processor-Benchmarks-and-Specs.1152086.0.html	Oryon v3	Snapdragon 8	16.0	6.0			3320	3800	8	8	3	ARM	True		62.45															2914.5	9643																	153	1781			64990	251.48	233.98	321					
laptop	380	Intel Core 3 305	1275904	https://www.notebookcheck.net/Intel-Core-3-305-Processor-Benchmarks-and-Specs.1275904.0.html	Wildcat Lake	Wildcat Lake	6.0		15	35	1400	4300	6	6	2	x86	True	Intel Graphics 1 Xe3 WCL																																														
laptop	381	AMD Ryzen 7 5825U	590117	https://www.notebookcheck.net/AMD-Ryzen-7-5825U-Processor-Benchmarks-and-Specs.590117.0.html	Barcelo-U (Zen 3)	Cezanne (Zen 3, Ryzen 5000)	4.0	16.0	15		2000	4500	8	16	7	x86	True	Vega 8	46.45	6252	32964.5	232	1757	565	3973	1452	10152	86	577	6279	33719	1482	7074.5	1988	8644	11670.5	250.55	99.18	12.6	9.85	1.45	1.1	297	555	5427	48177	7.56	366	6.61	228.68	264	213	1324			70779	227.87		232					
desktop	382	Intel Core i5-11400F	544169	https://www.notebookcheck.net/Intel-Core-i5-11400F-desktop-processor.544169.0.html	Rocket Lake	Rocket Lake	3.0	12.0	65		2600	4400	6	12	14	x86	True		42.814	6210	44220	210	1574	502	3945	1339	10235			6836	30191	1575	7681	1956	8816	13359	258	91.5	13.5	8.7	1.4	0.84	290.2		5466	41522	7.76	703	4.09	117.2	255													
laptop	383	Intel Core i7-10870H	494569	https://www.notebookcheck.net/Intel-Core-i7-10870H-Processor-Benchmarks-and-Specs.494569.0.html	Comet Lake-H	Comet Lake	2.0	16.0	45		2200	5000	8	16	14	x86	True	UHD Graphics 630	29.457			200	1659	473.5	3632	1226	9892.5			5652	30578	1282.5	7735.5	1685	7713				12.45				292		5295.5	44975.5					225					54493.5	156.8		132					
